id,track name,size bytes,currency,price,rating_count_tot,rating count_ver,user rating,user rating_ver,ver,cont_rating,prime_genre,sup_device,ipadSc,lang.num,vpp_lic
284882215,Facebook,389879808,USD,0,2974676,212,3.5,3.5,95,4+,Social,37,1,1,1
389801252,Instagram,113954816,USD,0,2161558,1289,4.5,4.5,10.23,12+,photo,37,0,29,1
529479190,Clash of Clans,116476928,USD,0,2130805,579,4.5,4.5,9.24.12,9+,games,38,5,18,1
420009108,Temple Run,65921024,USD,0,1724546,3842,4.5,4.5,1.6.2,9+,games,40,5,1,1
284035177,Panodra,13024560,USD,0,1126879,3594,4,4,8.4.1,12+,music,37,4,1,1
